ticker,monthBeginDate,chgPct
000990,2019-02-01,0.17344173
000990,2019-01-02,-0.07826811
000997,2019-06-03,0.00835821
000997,2019-05-06,-0.06633222
000997,2019-04-01,0.01355932
000997,2019-03-01,0.02489867
000997,2019-02-01,0.15133333
000997,2019-01-02,0.02459016
000998,2019-06-03,-0.03466667
000998,2019-05-06,0.10213079
000998,2019-04-01,-0.16297663
000998,2019-03-01,0.03964194
000998,2019-02-01,0.24920128
000998,2019-01-02,-0.15405405
000999,2019-06-03,0.06497278
000999,2019-05-06,-0.06610169
000999,2019-04-01,0.02288488
000999,2019-03-01,0.14717582
000999,2019-02-01,0.13858696
000999,2019-01-02,-0.11182623
002002,2019-06-03,0.11531532
002002,2019-05-06,-0.01245552
002002,2019-04-01,0.03690037
002002,2019-03-01,0.1507431
002002,2019-02-01,0.38938053
002002,2019-01-02,0.17708333
002004,2019-06-03,-0.03762376
002004,2019-05-06,-0.06133829
002004,2019-04-01,-0.08813559
002004,2019-03-01,0.10280374
002004,2019-02-01,0.12869198
002004,2019-01-02,0.02819957
002019,2019-06-03,0.02083333
002019,2019-05-06,-0.19246299
002019,2019-04-01,0.12150943
002019,2019-03-01,0.16534741
002019,2019-02-01,0.27039106
002019,2019-01-02,-0.1635514
002028,2019-06-03,-0.030185
002028,2019-05-06,-0.14559068
002028,2019-04-01,-0.03298471
002028,2019-03-01,0.06421233
002028,2019-02-01,0.17034068
002028,2019-01-02,0.01114488
002030,2019-06-03,-0.00648148
002030,2019-05-06,-0.07455013
002030,2019-04-01,-0.12255639
002030,2019-03-01,0.11952862
002030,2019-02-01,0.32589286
002030,2019-01-02,-0.11811024
002038,2019-06-03,0.02079723
002038,2019-05-06,-0.07864271
002038,2019-04-01,-0.0923913
002038,2019-03-01,0.01620029
002038,2019-02-01,0.12417219
002038,2019-01-02,-0.02619911
002048,2019-06-03,-0.01636364
002048,2019-05-06,-0.13385827
002048,2019-04-01,-0.00392157
002048,2019-03-01,0.01674641
002048,2019-02-01,0.2115942
002048,2019-01-02,-0.00767018
002049,2019-06-03,-0.02216803
002049,2019-05-06,0.08463573
002049,2019-04-01,-0.07639352
002049,2019-03-01,0.19001057
002049,2019-02-01,0.25589114
002049,2019-01-02,0.04256055
002051,2019-06-03,0.01865009
002051,2019-05-06,-0.15018868
002051,2019-04-01,-0.12193506
002051,2019-03-01,0.11777778
002051,2019-02-01,0.20106762
002051,2019-01-02,0.01444043
002056,2019-06-03,-0.04642409
002056,2019-05-06,0.15674891
002056,2019-04-01,-0.01289398
002056,2019-03-01,0.00721501
002056,2019-02-01,0.22438163
002056,2019-01-02,0.02350814
002064,2019-06-03,0.004
002064,2019-05-06,-0.04580153
002064,2019-04-01,-0.02962963
002064,2019-03-01,0.08
002064,2019-02-01,0.11111111
002064,2019-01-02,0.07398568
002074,2019-06-03,0.02823529
002074,2019-05-06,-0.13383152
002074,2019-04-01,-0.16316089
002074,2019-03-01,0.04391691
002074,2019-02-01,0.38341544
002074,2019-01-02,0.05363322
002075,2019-06-03,-0.12402235
002075,2019-05-06,0.02402746
002075,2019-04-01,-0.12512513
002075,2019-03-01,0.03846154
002075,2019-02-01,0.41055718
002075,2019-01-02,-0.15068493
002078,2019-06-03,0.0624025
002078,2019-05-06,-0.1047486
002078,2019-04-01,0.0013986
002078,2019-03-01,-0.01243094
002078,2019-02-01,0.20066335
002078,2019-01-02,0.05789474
002085,2019-06-03,0.00552486
002085,2019-05-06,-0.09612984
002085,2019-04-01,-0.00988875
002085,2019-03-01,0.00872818
002085,2019-02-01,0.11699164
002085,2019-01-02,-0.07354839
002092,2019-06-03,0.00632111
002092,2019-05-06,-0.11123596
002092,2019-04-01,-0.02305159
002092,2019-03-01,0.03405221
002092,2019-02-01,0.22873082
002092,2019-01-02,0.01702128
002093,2019-06-03,0.1511772
002093,2019-05-06,-0.0472255
002093,2019-04-01,-0.12409514
002093,2019-03-01,0.16086435
