ticker,lastChgPct,tradeDate,marketValue,negMarketValue,PE,PB,FY12P,PCF,NetAssetGrowRate,VSTD10,MACD,RSI,ROE,plusDI,minusDI,ADX,ASI,Hurst,avgTurnoverRate,label
000021,0.12801484,2018-12-03,9254221626.0,9242067459.0,18.0348,1.4974,0.0633,10.1137,0.0665,2655930.0216,-0.0094,52.7778,0.0877,27.6636,16.0282,22.003,0.111,0.6977,0.0052,-0.05427632
000021,-0.11639344,2018-11-01,8033076324.0,8022525966.0,15.655,1.2998,0.0729,8.7791,0.0665,2774248.2479,0.1186,71.5447,0.0877,36.1217,24.3983,32.5147,7.8145,0.6307,0.0072,0.12801484
000021,-0.01453958,2018-10-08,8753993430.0,8742496245.0,21.5806,1.4904,0.0669,15.7846,0.0373,2599361.976,0.0292,46.7391,0.07,20.4391,26.2541,27.3909,-2.7922,0.6822,0.0044,-0.11639344
000021,-0.10289855,2018-09-03,9033532716.0,9021668394.0,22.2697,1.538,0.0648,16.2886,0.0373,754635.6993,-0.01,32.1839,0.07,11.0662,37.5774,31.1363,-6.2413,0.6722,0.0037,-0.01453958
000021,0.06864989,2018-05-02,13050070878.0,13033596627.0,25.5879,2.2308,0.0487,18.531,0.0436,24650585.314,0.0268,51.763,0.0888,20.7735,32.4429,22.1262,-18.0409,0.6999,0.0119,-0.14239829
000021,0.00575374,2018-04-02,13153059036.0,13136454774.0,34.6227,2.2636,0.0483,17.927,0.0879,8538113.9758,0.0438,52.3381,0.0693,39.4586,24.3607,21.2586,16.1116,0.7191,0.0275,0.06864989
000021,-0.0268757,2018-03-01,13167770735.0,13149973660.0,34.6615,2.2662,0.0483,17.947,0.0879,7586812.3446,0.2466,80.6847,0.0693,26.1971,16.6745,28.0702,16.1924,0.7477,0.0156,0.00575374
000021,-0.08221994,2018-02-01,12182027004.0,12165562224.0,32.0667,2.0965,0.0475,16.6035,0.0879,8116467.6992,-0.4162,10.4173,0.0693,13.3883,50.0948,25.6612,-40.0412,0.7073,0.0146,-0.0268757
000021,0.0715859,2018-01-02,14462478919.0,14442931964.0,38.0695,2.489,0.04,19.7116,0.0879,3592843.5542,0.0548,54.9352,0.0693,23.6624,16.4823,21.0103,-6.9212,0.5865,0.0387,-0.08221994
000021,-0.01943844,2017-12-01,13741561862.0,13722989272.0,36.1718,2.3649,0.0399,18.7291,0.0879,7561391.7256,-0.1964,35.7752,0.0693,15.9518,26.0709,33.1452,-8.8184,0.6164,0.013,0.0715859
000021,-0.0190678,2017-11-01,13667998897.0,13649525732.0,35.9782,2.3522,0.0331,18.6288,0.0879,2953094.4145,-0.0482,49.3932,0.0693,21.5704,20.6558,20.2115,-1.0082,0.632,0.0193,-0.01943844
000021,0.02608696,2017-10-09,14271215210.0,14251926760.0,46.8944,2.5144,0.032,20.093,0.0768,12414965.947,0.024,69.2059,0.0565,38.977,8.441,49.0048,4.358,0.6285,0.0073,-0.0190678
000021,0.09263658,2017-09-01,13550298153.0,13531984068.0,44.5256,2.3874,0.0318,19.078,0.0768,10199413.8137,0.142,71.6049,0.0565,34.9012,4.9084,54.5255,12.4435,0.5988,0.0113,0.02608696
000021,-0.01864802,2017-08-01,12505704900.0,12493462350.0,69.4286,2.2192,0.0277,37.0517,0.0651,1106508.9253,0.0224,50.813,0.0339,22.8085,13.773,20.4553,4.1029,0.6683,0.0099,0.09263658
000021,0.01538462,2017-07-03,12858807156.0,12846218934.0,71.3889,2.2819,0.0269,38.0979,0.0651,2415829.0374,0.0252,66.2791,0.0339,32.5869,13.2027,27.2389,1.8907,0.7149,0.005,-0.01864802
000021,0.06022585,2017-06-01,12064327080.0,12052516620.0,66.9782,2.1409,0.0287,35.744,0.0651,4319260.0075,0.1464,55.1365,0.0339,33.7438,22.8011,31.3313,4.6882,0.7091,0.0055,0.01538462
000021,-0.13930886,2017-05-02,11873063358.0,11861440137.0,65.9163,2.1069,0.0329,35.1773,0.0651,11935954.6156,-0.191,13.1148,0.0339,14.4768,48.456,57.6538,-9.9842,0.7138,0.0059,0.06022585
000021,-0.05316973,2017-04-05,13815125766.0,13801601349.0,64.4291,2.6272,0.0282,38.7479,0.0176,2025582.4648,-0.125,25.8093,0.0405,10.1236,40.1568,40.46,-13.187,0.719,0.0078,-0.13930886
