ticker,date,pred
0.08171206,20190301,[-0.01005918]
0.20093458,20190201,[0.00218314]
-0.05934066,20190102,[-0.00095458]
0.04477612,20190603,[-0.02063449]
-0.02813187,20190506,[-0.01821867]
-0.04371585,20190401,[-0.03223646]
0.18771842,20190301,[-0.02080386]
0.17340363,20190201,[-0.02022938]
0.138,20190102,[-0.00916837]
-0.04694836,20190603,[0.00229898]
-0.15810277,20190506,[0.00143143]
-0.13474692,20190401,[0.00632192]
-0.1019656,20190301,[-0.00844124]
-0.06971429,20190201,[0.02835446]
-0.01685393,20190102,[-0.01466478]
-0.08055010000000001,20190603,[0.02202606]
-0.18364074,20190506,[0.01087764]
-0.04663609,20190401,[0.02142723]
-0.08210526,20190301,[0.01562734]
0.18257261,20190201,[0.03337598]
0.28464819,20190102,[0.03288981]
-0.06075635,20190603,[-0.00435568]
-0.02714113,20190506,[0.01038155]
-0.11313185,20190401,[-0.0110076]
0.34496403,20190301,[0.03866576]
0.23720516,20190201,[0.01928297]
-0.03146552,20190102,[0.007332]
0.03760863,20190603,[-0.03661282]
0.09391903,20190506,[0.00574351]
-0.13448716,20190401,[-0.0443623]
0.36661497,20190301,[0.00928065]
0.12965396,20190201,[-0.01819611]
0.20921610000000002,20190102,[-0.00416134]
-0.12781955,20190603,[-0.03705934]
0.00251256,20190506,[-0.03703993]
-0.01289683,20190401,[-0.05120377]
0.18588235,20190301,[-0.03139433]
-0.0162037,20190201,[-0.03565661]
0.11411992,20190102,[-0.03614855]
-0.05577029,20190603,[-0.0544423]
-0.03772582,20190506,[-0.01089229]
-0.00581088,20190401,[-0.04101535]
0.26368491,20190301,[-0.00505735]
0.1898332,20190201,[-0.02650901]
0.13219424,20190102,[-0.02267237]
0.08043876,20190603,[-0.00334216]
-0.09136213,20190506,[-0.00463829]
-0.09880239999999998,20190401,[-0.01294634]
0.08090615,20190301,[-0.01221146]
0.14869888,20190201,[-0.0094417]
0.06746032,20190102,[-0.00447546]
0.05496183,20190603,[-0.00895011]
-0.17454316,20190506,[-0.0258107]
0.04890945,20190401,[-0.0122485]
-0.06199628,20190301,[-0.02626776]
0.17565598,20190201,[-0.01410083]
-0.07671602,20190102,[-0.01629756]
0.09713855,20190603,[0.03073335]
-0.25727069,20190506,[0.00160099]
-0.05845182,20190401,[-0.03849982]
0.18539326,20190301,[-0.02756828]
0.52716873,20190201,[0.03650665]
-0.07085917,20190102,[0.0140784]
-0.14951768,20190603,[-0.03290119]
-0.18479685,20190506,[-0.05754652]
0.4315197,20190401,[-0.00694332]
0.3562341,20190301,[-0.01958424]
0.25159236,20190201,[0.00322267]
-0.01875,20190102,[-0.01841996]
-0.03125,20190603,[-0.0077466]
-0.08724832,20190506,[-0.03644721]
0.00846024,20190401,[-0.01775938]
0.2185567,20190301,[-0.01210676]
0.38571429,20190201,[0.00773714]
0.02440215,20190603,[-0.01943885]
-0.13434728,20190506,[-0.0239001]
-0.08645311,20190401,[-0.04132155]
0.11392949,20190301,[-0.0348317]
0.15205547,20190201,[-0.02031849]
-0.12407809,20190102,[-0.03705548]
-0.25772245,20190603,[-0.00090848]
-0.07662835,20190506,[-0.01299732]
0.03571429,20190401,[0.03165992]
-0.02325581,20190301,[-0.00968403]
0.4013277,20190201,[0.00893647]
0.17434444,20190102,[0.00182901]
-0.01251043,20190603,[0.01143477]
-0.12225476,20190506,[0.0110032]
-0.10484928,20190401,[0.01949832]
0.02210315,20190301,[0.04497058]
0.3609845,20190201,[0.04672419]
0.00091241,20190102,[0.0247045]
-0.05602923,20190603,[-0.00952996]
-0.08062710000000001,20190506,[-0.02157536]
